,session1,session2,label,volume1,volume2,volume_diff,dice,surface_dice,hd95,label_name,volume_diff_noabs,percentage_vol_diff
3382,ses-055,ses-056,2006,1413.0,1352.0,61.0,0.7471971066907775,0.9402847574192109,1.4142135623730951,Entorhinal Cortex R,61.0,0.045118343195266274
3383,ses-055,ses-056,2007,7839.0,7951.0,112.0,0.8377454084863838,0.9944052300591538,1.0,Fusiform Gyrus R,-112.0,-0.014086278455540184
3384,ses-055,ses-056,2008,15688.0,15705.0,17.0,0.8386582996209346,0.997178833531146,1.0,Inferior Parietal R,-17.0,-0.0010824578159821714
3388,ses-055,ses-056,2012,8357.0,7533.0,824.0,0.8100692259282568,0.9885902518912273,1.0,Lateral Orbitofrontal R,824.0,0.10938537103411655
3390,ses-055,ses-056,2014,4157.0,3688.0,469.0,0.7449330783938815,0.9791433446296272,1.0,Medial Orbitofrontal R,469.0,0.1271691973969631
3404,ses-055,ses-056,2028,30337.0,27788.0,2549.0,0.8212301075268817,0.9942854220136622,1.0,Superior Frontal R,2549.0,0.09173024327047646
3406,ses-055,ses-056,2030,17094.0,16287.0,807.0,0.8471885204158054,0.9919820717168601,1.0,Superior Temporal R,807.0,0.04954871983790753
3409,ses-055,ses-056,2035,6055.0,5796.0,259.0,0.8519112311197368,0.9948084131231215,1.0,Insula R,259.0,0.04468599033816425
3410,ses-056,ses-057,1002,3235.0,3420.0,185.0,0.786175807663411,0.983810701330642,1.0,Caudal Anterior Cingulate L,-185.0,-0.054093567251461985
3413,ses-056,ses-057,1006,1292.0,1544.0,252.0,0.6748942172073342,0.8988279649840072,1.4142135623730951,Entorhinal Cortex L,-252.0,-0.16321243523316062
3414,ses-056,ses-057,1007,8966.0,9047.0,81.0,0.6990506856159441,0.949589715116725,1.4142135623730951,Fusiform Gyrus L,-81.0,-0.008953244169337902
3415,ses-056,ses-057,1008,13137.0,13130.0,7.0,0.7161838047740511,0.9753124775560258,1.0,Inferior Parietal L,7.0,0.0005331302361005332
3419,ses-056,ses-057,1012,7422.0,7970.0,548.0,0.706081081081081,0.9688183558981033,1.0,Lateral Orbitofrontal L,-548.0,-0.06875784190715183
